source_report,report_date,commodity,variety,organic,market_location,district,package,grade,size_description,low_price,high_price,mostly_low,mostly_high,demand,market_tone,supply_tone,commodity_comments
IX_FV110,05/15/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 36 count,105,133,119,126,LIGHT,About Steady,,Extra services included.
IX_FV110,05/15/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,6s,5,6,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/15/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,8s,3.95,5.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/15/2026,Grapes,PERLETTE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,14.95,16.95,,,LIGHT,"Summer Royal lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/15/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large-extra large,20.95,24.95,,,LIGHT,"Summer Royal lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/15/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,18.95,20.95,,,LIGHT,"Summer Royal lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/15/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,18.95,22.95,,,LIGHT,"Summer Royal lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/15/2026,Grapes,WHITE SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,16.95,18.95,,,LIGHT,"Summer Royal lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/15/2026,Honeydews,N/A,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,2/3 cartons,N/A,5s,4.95,6.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/15/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,16.95,20.95,,,LIGHT,"Summer Royal lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/15/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,14.95,16.95,,,LIGHT,"Summer Royal lower, others slightly lower.",,Extra services included. White Seedless Type being reported are Early Sweets variety. Wide range in price. Many present shipments from prior bookings and/or previous commitments at higher prices.
IX_FV110,05/14/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large,18.95,20.95,,,LIGHT,"Flame Seedless medium-large slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/14/2026,Grapes,FLAME SEEDLESS,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,medium-large,15.95,18.95,,,LIGHT,"Flame Seedless medium-large slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/14/2026,Grapes,SUMMER ROYAL,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,18 lb containers bagged,U.S. One,large-extra large,24.95,26.95,,,LIGHT,"Flame Seedless medium-large slightly lower, others about steady.",,Extra services included. Wide range in price. White Seedless Type being reported are Early Sweets variety. Movement and F.O.B. prices are impacted by a shortage of trucks and high freight rates.
IX_FV110,05/14/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,6s,8.95,12.95,10.95,12.95,LIGHT,About Steady,,Extra services included.
IX_FV110,05/14/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,8s,8.95,12.95,10.95,12.95,LIGHT,About Steady,,Extra services included.
IX_FV110,05/14/2026,Watermelons,RED FLESH SEEDLESS MINIATURE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,cartons,N/A,9s,8.95,10.95,,,LIGHT,About Steady,,Extra services included.
IX_FV110,05/14/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 36 count,105,126,112,119,LIGHT,About Steady,,Extra services included.
IX_FV110,05/14/2026,Watermelons,RED FLESH SEEDLESS TYPE,N,Nogales FOB SC,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,24 inch bins,N/A,approx 45 count,112,161,140,147,LIGHT,About Steady,,Extra services included.
